Return to Table of Contents,,,,,,,,,,
,,,,,,,,,,
Table 27.,,,,,,,,,,
NONIMMIGRANT ADMISSIONS (I-94 ONLY) BY REGION AND COUNTRY OF RESIDENCE: FISCAL YEARS 2013 TO 2022,,,,,,,,,,
,,,,,,,,,,
Region and country of residence,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Saint Lucia,"14,662","16,131","16,955","18,513","14,897","14,124","19,240","7,408","5,425","11,759"
Saint Pierre and Miquelon,122,107,141,127,103,151,197,88,17,72
Saint Vincent and the Grenadines,"9,322","11,154","11,404","11,425","9,630","8,995","10,499","4,310","2,943","6,190"
Samoa,"1,610","1,953","2,125","2,335","1,862","2,143","2,740","1,276",446,"1,033"
San Marino,737,734,830,708,724,787,794,312,52,246
Sao Tome and Principe,79,139,131,132,114,120,96,24,22,44
Saudi Arabia,"233,013","294,760","312,728","271,553","177,409","171,933","175,387","54,951","45,025","81,466"
Senegal,"9,099","10,290","9,834","10,412","8,208","7,729","10,479","4,542","4,502","7,580"
Serbia and Montenegro (former),"4,157","7,523","36,995","39,174","25,729","9,047","9,456","5,343",X,X
Seychelles,363,455,500,521,322,416,560,186,113,419
Sierra Leone,"2,654","2,933","2,821","2,800","2,916","2,530","2,932","1,170","1,062","2,965"
Singapore,"182,455","175,836","166,585","167,602","167,012","182,389","202,175","87,244","12,705","102,215"
Sint Maarten,NA,"2,059","1,931","2,067","2,082","3,029","5,426","2,692","3,857","6,467"
Slovakia,"44,361","48,581","46,302","50,943","55,499","58,300","62,806","23,295","3,436","33,173"
Slovenia,"21,112","23,578","23,393","24,566","26,365","28,604","31,273","14,380","2,398","15,394"
Solomon Islands,478,473,419,528,284,267,319,138,26,230
Somalia,143,301,301,398,281,258,180,106,98,158
South Africa,"123,999","141,644","148,557","146,553","116,332","127,809","161,916","76,458","24,748","85,535"
South Sudan,NA,392,461,406,397,461,562,204,144,320
Spain,"810,218","899,989","880,438","938,339","1,011,449","1,051,944","1,071,264","427,000","91,274","748,920"
Sri Lanka,"18,211","22,188","23,404","25,221","23,556","21,504","22,801","8,695","4,178","12,295"
Sudan,"2,449","3,587","3,531","4,997","3,206","3,091","2,912","1,398",630,"1,453"
Suriname,"13,582","14,246","15,352","13,255","10,580","10,382","15,102","5,361","3,387","17,539"
Sweden,"535,982","592,145","571,045","576,269","573,366","571,898","506,259","223,613","16,406","218,769"
Switzerland,"552,344","564,751","495,718","494,424","478,490","508,707","520,013","199,906","25,622","284,939"
Syria,"8,998","10,828","9,049","7,921","6,199","3,591","2,130",979,444,"1,392"
Taiwan,"430,906","469,634","464,567","490,629","501,448","522,519","523,492","206,691","47,967","109,112"
Tajikistan,"1,590","1,710","1,900","2,164","1,901","1,730","1,963",795,558,"1,537"
Tanzania,"7,375","8,142","9,147","8,289","6,196","6,463","7,724","3,018","1,530","5,367"
Thailand,"106,637","117,397","114,046","119,812","100,680","98,770","127,912","45,699","20,977","66,675"
Timor-Leste,14,274,270,266,252,229,317,138,52,230
Togo,"1,769","2,092","2,396","2,699","2,537","2,556","2,896","1,159",704,"1,285"
Tokelau,NA,221,104,96,50,46,42,D,D,D
Tonga,"1,661","2,048","2,867","4,006","3,146","2,334","3,102","1,303",86,753
Trinidad and Tobago,"161,669","171,697","187,222","194,915","154,947","131,990","209,918","87,265","15,840","111,922"
Tunisia,"9,724","11,708","11,718","13,196","11,367","10,860","12,475","5,143","3,255","9,046"
Turkey,"176,349","205,105","215,974","231,463","178,174","155,838","188,781","89,004","61,443","127,384"
Turkmenistan,"1,231","1,677","1,605","1,472","1,401","1,222","1,253",519,95,669
Turks and Caicos Islands,"11,851","11,073","11,246","12,144","10,059","14,830","23,124","11,350","11,332","20,628"
Tuvalu,136,191,163,202,169,174,194,79,D,83
Uganda,"8,586","9,643","10,647","10,807","10,030","11,250","14,120","5,428","2,552","6,578"
Ukraine,"80,485","93,338","110,255","118,569","98,838","94,817","118,332","62,891","47,664","70,500"
United Arab Emirates,"89,751","110,863","121,685","125,141","90,245","114,630","142,420","48,782","49,623","95,915"
United Kingdom,"4,382,392","4,456,512","4,228,183","4,678,571","4,731,766","5,053,927","5,220,617","2,124,262","155,172","3,048,017"
United States3,"954,222","825,906","807,701","949,336","3,471,882","4,234,510","978,618","557,914","553,681","1,009,877"
